Indiv_ID,Sex,Life_Stage,SVL (mm),SVL_cm,Mass_g,CEWL_g_m2h,Pregnant,Plasma_Osmol_Rep_mean,Tb_at_CEWL,CEWL_Blood_Collect_Date,Region,msmt_temp_C,msmt_RM_percent,,,,
RPA,F,adult,723,72.3,248.4,9.295,N,402.3333333,17,5/26/21,dorsal light,14.1,43,,,,
RWA,F,adult,620,62,145,3.796666667,N,391.5,20,5/26/21,dorsal light,19.1,32.3,,,,
RYA,F,adult,609,60.9,128.6,5.55,N,397,21,5/26/21,dorsal light,19.3,27.5,,,,
RYG,F,adult,748,74.8,282,5.413333333,N,NA,25,5/29/21,dorsal light,23.1,28.6,,,,
WBR,F,adult,825,82.5,283,0.946666667,N,370.3333333,22,5/27/21,dorsal light,19.6,23.5,,,,
WGA,F,adult,674,67.4,190.5,3.586666667,N,NA,22,5/27/21,dorsal light,21.1,23,,,,
WGG,F,adult,843,84.3,323.6,4.846666667,N,403.5,22,5/27/21,dorsal light,20.7,24.9,,,,
WGPu,F,adult,681,68.1,223.6,7.263333333,N,363.5,24,5/31/21,dorsal light,21.4,30.2,,,,
WPPu,F,adult,NA,NA,NA,4.873333333,Y,460,25,6/1/21,dorsal light,23,24.5,,,,
WPuA,F,adult,765,76.5,307.3,5.055,N,394,25,5/28/21,dorsal light,24,22.7,,,,
WPuW,F,adult,812,81.2,434.2,6.295,Y,384.5,23,6/1/21,dorsal light,22.3,27.9,,,,
WRA,F,adult,679,67.9,278.1,4.136666667,N,376.6666667,27,5/28/21,dorsal light,23.8,23.9,,,,
WWA,F,adult,954,95.4,464.1,9.553333333,N,385,22.5,5/30/21,dorsal light,20.9,35.9,,,,
WWB,F,adult,763,76.3,336.7,2.64,N,405.5,22.5,5/27/21,dorsal light,19.5,21.7,,,,
WWG,F,adult,1011,101.1,524.1,5.9,N,363,24.5,5/28/21,dorsal light,23.2,21.9,,,,
WYA,F,adult,531,53.1,93,5.94,N,403.6666667,25,5/29/21,dorsal light,20.1,27.1,,,,
YBP,M,adult,1025,102.5,729.7,8.813333333,NA,416,24.5,5/31/21,dorsal light,22.1,26.5,,,,
